"Punto.Fijo.eventPer","Punto.Fijo.order","Punto.Fijo.observado","Punto.Fijo.estimado","Punto.Fijo.s.e.","Punto.Fijo.LCL","Punto.Fijo.UCL","Punto.Fijo.parentEventID","Punto.Fijo.Dis_Cienag","Punto.Fijo.Dis_MGSG","Punto.Fijo.Dis_Dre345","Punto.Fijo.DisBosque","Punto.Fijo.Dis_CobNat","Punto.Fijo.Tam_Parche","Punto.Fijo.Dis_CP","Punto.Fijo.Dis_Oleodu","Punto.Fijo.Dis_Pozo","Punto.Fijo.Dis_Pozact","Punto.Fijo.Dis_Ferroc","Punto.Fijo.Dis_ViaPri","Punto.Fijo.Dia_ViaSec","Punto.Fijo.Plataf","Punto.Fijo.CobAves"
"ANH_236_21","Shannon diversity",29.019,36.204,3.14,30.05,42.358,"ANH_236",5788.55708149,8936.35853188,1741.34356311,123.630553496,123.630553496,70.602036402,2486.97544432,275.818502102,6710.999983,6710.999983,2245.29378354,2570.77780528,1867.44389654,"Kale","Bosque Ripario"
"ANH_236_21","Simpson diversity",20.962,24.336,3.343,20.962,30.888,"ANH_236",5788.55708149,8936.35853188,1741.34356311,123.630553496,123.630553496,70.602036402,2486.97544432,275.818502102,6710.999983,6710.999983,2245.29378354,2570.77780528,1867.44389654,"Kale","Bosque Ripario"
"ANH_238_21","Species richness",43,58.992,10.987,47.727,97.099,"ANH_238",5790.23145721,8938.03294381,1741.84222464,122.662238108,122.662238108,70.602036402,2487.66580491,274.802533895,6712.14845852,6712.14845852,2245.55352548,2571.19638497,1869.06463354,"Kale","Bosque Ripario"
"ANH_238_21","Shannon diversity",22.703,26.616,2.358,22.703,31.237,"ANH_238",5790.23145721,8938.03294381,1741.84222464,122.662238108,122.662238108,70.602036402,2487.66580491,274.802533895,6712.14845852,6712.14845852,2245.55352548,2571.19638497,1869.06463354,"Kale","Bosque Ripario"
"ANH_238_21","Simpson diversity",12.022,12.72,1.935,12.022,16.512,"ANH_238",5790.23145721,8938.03294381,1741.84222464,122.662238108,122.662238108,70.602036402,2487.66580491,274.802533895,6712.14845852,6712.14845852,2245.55352548,2571.19638497,1869.06463354,"Kale","Bosque Ripario"
"ANH_239_21","Species richness",40,42.45,2.432,40.483,52.417,"ANH_239",4854.9210516,7936.88262706,2530.90472176,35.3349449392,35.3349449392,841.669467865,2860.42866401,172.542928468,5373.39183303,5373.39183303,3109.22687243,3229.42132005,709.612869479,"Kale","Bosque Ripario"
"ANH_239_21","Shannon diversity",20.255,22.533,1.804,20.255,26.069,"ANH_239",4854.9210516,7936.88262706,2530.90472176,35.3349449392,35.3349449392,841.669467865,2860.42866401,172.542928468,5373.39183303,5373.39183303,3109.22687243,3229.42132005,709.612869479,"Kale","Bosque Ripario"
"ANH_239_21","Simpson diversity",11.394,11.976,1.488,11.394,14.893,"ANH_239",4854.9210516,7936.88262706,2530.90472176,35.3349449392,35.3349449392,841.669467865,2860.42866401,172.542928468,5373.39183303,5373.39183303,3109.22687243,3229.42132005,709.612869479,"Kale","Bosque Ripario"
"ANH_240_21","Species richness",29,45.714,12.592,33.492,91.197,"ANH_240",3541.58823071,9466.42845967,1964.85785286,2.6900047016,2.6900047016,177.807876044,4237.58810209,2376.72453617,5091.49828537,5091.49828537,4972.40006004,7855.43161774,584.385740946,"Kale","Bosque Ripario"
"ANH_240_21","Shannon diversity",19.654,25.743,3.045,19.775,31.711,"ANH_240",3541.58823071,9466.42845967,1964.85785286,2.6900047016,2.6900047016,177.807876044,4237.58810209,2376.72453617,5091.49828537,5091.49828537,4972.40006004,7855.43161774,584.385740946,"Kale","Bosque Ripario"
"ANH_240_21","Simpson diversity",14.402,16.921,2.504,14.402,21.828,"ANH_240",3541.58823071,9466.42845967,1964.85785286,2.6900047016,2.6900047016,177.807876044,4237.58810209,2376.72453617,5091.49828537,5091.49828537,4972.40006004,7855.43161774,584.385740946,"Kale","Bosque Ripario"
"ANH_241_21","Species richness",21,30.839,8.241,23.357,62.073,"ANH_241",5081.33727531,9211.3408206,2560.56164357,0,0,9.85348903275,5709.59359129,3070.18471176,4835.7161053,4835.7161053,4467.05812383,6439.64339377,880.492283126,"Kale","Bosque Ripario"
"ANH_241_21","Shannon diversity",13.792,18.137,2.788,13.792,23.601,"ANH_241",5081.33727531,9211.3408206,2560.56164357,0,0,9.85348903275,5709.59359129,3070.18471176,4835.7161053,4835.7161053,4467.05812383,6439.64339377,880.492283126,"Kale","Bosque Ripario"
