"RedNiebla_Av.eventPer","RedNiebla_Av.order","RedNiebla_Av.observado","RedNiebla_Av.estimado","RedNiebla_Av.s.e.","RedNiebla_Av.LCL","RedNiebla_Av.UCL","RedNiebla_Av.parentEventID","RedNiebla_Av.Dis_Cienag","RedNiebla_Av.Dis_MGSG","RedNiebla_Av.Dis_Dre345","RedNiebla_Av.DisBosque","RedNiebla_Av.Dis_CobNat","RedNiebla_Av.Tam_Parche","RedNiebla_Av.Dis_CP","RedNiebla_Av.Dis_Oleodu","RedNiebla_Av.Dis_Pozo","RedNiebla_Av.Dis_Pozact","RedNiebla_Av.Dis_Ferroc","RedNiebla_Av.Dis_ViaPri","RedNiebla_Av.Dia_ViaSec","RedNiebla_Av.Plataf","RedNiebla_Av.CobMam"
"ANH_74_18","Shannon diversity",1.569,1.728,0.429,1.569,2.57,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_18","Simpson diversity",1.385,1.5,0.473,1.385,2.427,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_65_20","Species richness",6,15.231,9.315,7.786,53.702,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_20","Shannon diversity",3.616,6.367,2.563,3.616,11.391,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_20","Simpson diversity",2.449,2.786,1.421,2.449,5.571,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_64_20","Species richness",4,4,0.518,4,5.6,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_20","Shannon diversity",3.1,3.326,0.441,3.1,4.191,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_20","Simpson diversity",2.77,3.012,0.403,2.77,3.802,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_19","Species richness",4,4.479,1.276,4.028,12.149,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_19","Shannon diversity",2.664,2.894,0.541,2.664,3.955,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_19","Simpson diversity",2.165,2.281,0.429,2.165,3.122,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_18","Species richness",4,4.923,2.016,4.069,16.365,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_18","Shannon diversity",2.976,3.571,0.676,2.976,4.895,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_18","Simpson diversity",2.522,2.889,0.628,2.522,4.12,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_65_19","Species richness",3,3,0.39,3,4.011,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_19","Shannon diversity",2.44,2.634,0.437,2.44,3.491,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_19","Simpson diversity",2.085,2.275,0.512,2.085,3.278,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_21","Species richness",9,13.443,7.107,9.488,49.427,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_21","Shannon diversity",4.289,4.666,0.632,4.289,5.905,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_21","Simpson diversity",3.219,3.313,0.344,3.219,3.987,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_18","Species richness",3,4.5,2.872,3.132,20.083,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_18","Shannon diversity",2.828,4.891,2.967,2.828,10.706,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_18","Simpson diversity",2.667,6,1.772,2.667,9.473,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_73_19","Species richness",4,4.486,1.29,4.029,12.241,"ANH_73",5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario"
"ANH_73_19","Shannon diversity",2.591,2.742,0.392,2.591,3.51,"ANH_73",5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario"
"ANH_73_19","Simpson diversity",2.231,2.315,0.322,2.231,2.947,"ANH_73",5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario"
"ANH_76_19","Species richness",5,7.912,4.262,5.358,28.712,"ANH_76",1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario"
"ANH_76_19","Shannon diversity",2.761,3.105,0.469,2.761,4.024,"ANH_76",1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario"
"ANH_76_19","Simpson diversity",2.331,2.429,0.269,2.331,2.957,"ANH_76",1868.15359448,12038.9796725,99.4318006865,119.299591654,119.299591654,116.701861761,2031.12791191,3664.56164277,7275.65196227,7916.46815566,3186.44977553,8397.65838551,1354.57572843,"Kale","Bosque Ripario"
"ANH_73_18","Species richness",4,4.464,1.242,4.027,11.941,"ANH_73",5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario"
"ANH_73_18","Shannon diversity",3.225,3.718,0.792,3.225,5.269,"ANH_73",5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario"
"ANH_73_18","Simpson diversity",2.8,3.25,0.861,2.8,4.937,"ANH_73",5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario"
"ANH_73_20","Species richness",4,5.818,3.426,4.163,24.295,"ANH_73",5873.24802239,8266.85422185,3724.63800342,5.71548110289,5.71548110289,556.005415522,4823.6430347,1631.09793043,4394.99356807,4394.99356807,4921.30277814,5176.86135705,932.078329958,"Kale","Bosque Ripario"
