"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"839","ANH_96_M_R12","Shannon diversity",3,7.184,2.44,3,11.966,"ANH_96","RdN",0.894736842105263
"840","ANH_96_M_R12","Simpson diversity",3,3,0.52,3,4.02,"ANH_96","RdN",0.894736842105263
"841","ANH_96_M_R20","Species richness",2,2,0.223,2,2.508,"ANH_96","RdN",0.894736842105263
"842","ANH_96_M_R20","Shannon diversity",1.938,2.072,0.225,1.938,2.513,"ANH_96","RdN",0.894736842105263
"843","ANH_96_M_R20","Simpson diversity",1.882,2.154,0.344,1.882,2.827,"ANH_96","RdN",0.894736842105263
"844","ANH_96_M_R17","Species richness",5,8.938,6.334,5.43,41.08,"ANH_96","RdN",0.894736842105263
"845","ANH_96_M_R17","Shannon diversity",4.456,7.799,3.992,4.456,15.623,"ANH_96","RdN",0.894736842105263
"846","ANH_96_M_R17","Simpson diversity",4,7,4.514,4,15.847,"ANH_96","RdN",0.894736842105263
"847","ANH_96_M_R19","Species richness",2,2.333,0.943,2.018,8.09,"ANH_96","RdN",0.894736842105263
"848","ANH_96_M_R19","Shannon diversity",1.89,2.52,1.661,1.89,5.776,"ANH_96","RdN",0.894736842105263
"849","ANH_96_M_R19","Simpson diversity",1.8,1.8,0.72,1.8,3.211,"ANH_96","RdN",0.894736842105263
"850","ANH_96_M_R11","Species richness",3,5,2.921,3.246,19.244,"ANH_96","RdN",0.894736842105263
"851","ANH_96_M_R11","Shannon diversity",3,7.184,2.451,3,11.988,"ANH_96","RdN",0.894736842105263
"852","ANH_96_M_R11","Simpson diversity",3,3,0.544,3,4.066,"ANH_96","RdN",0.894736842105263
"853","ANH_96_M_R14","Species richness",2,2.5,1.107,2.037,8.808,"ANH_96","RdN",0.894736842105263
"854","ANH_96_M_R14","Shannon diversity",2,3.375,1.091,2,5.514,"ANH_96","RdN",0.894736842105263
"855","ANH_96_M_R14","Simpson diversity",2,2,0.471,2,2.924,"ANH_96","RdN",0.894736842105263
"856","ANH_96_M_R15","Species richness",1,1,0.312,1,2.549,"ANH_96","RdN",0.894736842105263
"857","ANH_96_M_R15","Shannon diversity",1,0,0,1,0,"ANH_96","RdN",0.894736842105263
"858","ANH_96_M_R15","Simpson diversity",1,1,0,1,1,"ANH_96","RdN",0.894736842105263
"859","ANH_96_M_R18","Species richness",1,1,0.312,1,2.549,"ANH_96","RdN",0.894736842105263
