"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"52","_A_N_H___1_4_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_5_","Species richness",1,1,0.312,1,2.549,"ANH_144","CapManual",0.888888888888889
"53","_A_N_H___1_4_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_5_","Shannon diversity",1,0,0,1,0,"ANH_144","CapManual",0.888888888888889
"54","_A_N_H___1_4_4___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___1_5_","Simpson diversity",1,NA,0,NA,NA,"ANH_144","CapManual",0.888888888888889
"55","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_2___0_3___2_2_","Species richness",2,2.333,0.943,2.018,8.09,"ANH_147","CapManual",1
"56","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_2___0_3___2_2_","Shannon diversity",1.89,2.52,1.534,1.89,5.526,"ANH_147","CapManual",1
"57","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_2___0_3___2_2_","Simpson diversity",1.8,1.8,0.752,1.8,3.274,"ANH_147","CapManual",1
"58","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Species richness",1,1,0.284,1,1.799,"ANH_147","CapManual",1
"59","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Shannon diversity",1,1,0,1,1,"ANH_147","CapManual",1
"60","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___0_2_","Simpson diversity",1,1,0,1,1,"ANH_147","CapManual",1
"61","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___0_2_","Species richness",1,1,0.2,1,1.464,"ANH_147","CapManual",1
"62","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___0_2_","Shannon diversity",1,1,0,1,1,"ANH_147","CapManual",1
"63","_A_N_H___1_4_7___C_a_p_t_u_r_a_ _m_a_n_u_a_l_3___2_0_2_1___0_7___0_2_","Simpson diversity",1,1,0,1,1,"ANH_147","CapManual",1
"64","_A_N_H___3_6_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_5_","Species richness",1,1,0.312,1,2.549,"ANH_365","CapManual",0.888888888888889
"65","_A_N_H___3_6_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_5_","Shannon diversity",1,0,0,1,0,"ANH_365","CapManual",0.888888888888889
"66","_A_N_H___3_6_5___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_2___0_3___2_5_","Simpson diversity",1,NA,0,NA,NA,"ANH_365","CapManual",0.888888888888889
"67","_A_N_H___3_6_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_2___0_4___0_5_","Species richness",1,1,0.312,1,2.549,"ANH_368","CapManual",0.888888888888889
"68","_A_N_H___3_6_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_2___0_4___0_5_","Shannon diversity",1,0,0,1,0,"ANH_368","CapManual",0.888888888888889
"69","_A_N_H___3_6_8___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_2___0_4___0_5_","Simpson diversity",1,NA,0,NA,NA,"ANH_368","CapManual",0.888888888888889
"70","_A_N_H___3_7_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_5_","Species richness",1,1,0.284,1,1.799,"ANH_372","CapManual",0.888888888888889
"71","_A_N_H___3_7_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_5_","Shannon diversity",1,1,0,1,1,"ANH_372","CapManual",0.888888888888889
"72","_A_N_H___3_7_2___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___1_5_","Simpson diversity",1,1,0,1,1,"ANH_372","CapManual",0.888888888888889
"73","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_3_","Species richness",1,1,0.312,1,2.549,"ANH_373","CapManual",0.666666666666667
"74","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_3_","Shannon diversity",1,0,0,1,0,"ANH_373","CapManual",0.666666666666667
"75","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_3_","Simpson diversity",1,1,0,1,1,"ANH_373","CapManual",0.666666666666667
"76","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___2_3_","Species richness",2,2.5,1.107,2.037,8.808,"ANH_373","CapManual",0.666666666666667
"77","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___2_3_","Shannon diversity",2,3.375,1.12,2,5.569,"ANH_373","CapManual",0.666666666666667
"78","_A_N_H___3_7_3___C_a_p_t_u_r_a_ _m_a_n_u_a_l_2___2_0_2_1___0_7___2_3_","Simpson diversity",2,2,0.453,2,2.887,"ANH_373","CapManual",0.666666666666667
"79","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_1_","Species richness",1,1,0.312,1,2.549,"ANH_391","CapManual",0.888888888888889
"80","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_1_","Shannon diversity",1,0,0,1,0,"ANH_391","CapManual",0.888888888888889
"81","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_1___2_0_2_1___0_7___2_1_","Simpson diversity",1,1,0,1,1,"ANH_391","CapManual",0.888888888888889
"82","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___2_1_","Species richness",1,1,0.284,1,1.799,"ANH_391","CapManual",0.888888888888889
"83","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___2_1_","Shannon diversity",1,1,0,1,1,"ANH_391","CapManual",0.888888888888889
"84","_A_N_H___3_9_1___C_a_p_t_u_r_a_ _m_a_n_u_a_l_4___2_0_2_1___0_7___2_1_","Simpson diversity",1,1,0,1,1,"ANH_391","CapManual",0.888888888888889
