"","parentEven","richness","Shannon","Simpson","samplEff.1","shann_corr","simp_corr","parentEven.y","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Tipo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec"
"73","ANH_256",18,2.4838296,0.87981859,1,2.4838296,0.87981859,"ANH_256","7°17' 43,900"" N","73°46' 55,500"" W",7.29552777802,-73.7820833333,"Camaras","PE",1791.52942891,980.680602052,2980.08005934,6834.26850775,746.28284105,9937.44185327,11011.4475661,1031.78128823,748.612478188,11850.6021599,5575.9188377,1780.74962437,"PVAa","Palma",1096.10755595,"Caracterizacion",9937.44185327,0,2527.74472504,5422.70495716
"74","ANH_258",23,2.90283359,0.93310547,1,2.90283359,0.93310547,"ANH_258","7°16' 55,572"" N","73°45' 29,516"" W",7.28210322152,-73.7581988032,"Unidad Muestral","OE",4418.02816914,109.178441302,3346.46504457,6606.55878195,3200.9719886,12865.555913,13378.9860534,740.656939694,740.656939694,14572.0381323,4115.29196211,1357.30986246,"PVAa","Palma",834.954271967,"Caracterizacion",12865.555913,0,3884.11273843,3377.11950027
"75","ANH_272",9,1.75342655,0.78550604,1,1.75342655,0.78550604,"ANH_272","7°16' 8,563"" N","73°42' 45,753"" W",7.2690451532,-73.7127091496,"Unidad Muestral","OE",2190.51268842,33.0557934683,1574.39881349,1574.39881349,6731.4124467,17706.9011972,18354.2594914,129.876869276,129.876869276,18172.9283163,1295.37691722,1769.86718015,"PVCb2","Pastos",34.0313294509,"Caracterizacion",17706.9011972,0,1821.97683569,88.8032569021
"76","ANH_274",4,1.1490597,0.61728395,1,1.1490597,0.61728395,"ANH_274","7°24' 40,100"" N","73°47' 29,100"" W",7.41113888913,-73.7914166667,"Camaras","PE",1597.86598893,2201.5225799,7038.46855768,7038.46855768,4590.79118137,6714.81064753,18195.6424065,0,0,926.59861027,10870.5218126,611.144339251,"PVCb2","Bosque Ripario",55.5231894305,"Kale",6714.81064753,0,9024.21971796,39.6919903404
"77","ANH_274",4,1.1490597,0.61728395,1,1.1490597,0.61728395,"ANH_274","7°24' 39,691"" N","73°47' 30,024"" W",7.41102524144,-73.7916734334,"Unidad Muestral","OE",1628.20805073,2181.43821636,7008.18001843,7008.18001843,4609.61330843,6683.938074,18169.9488487,0,0,951.410180426,10843.5219258,587.122360119,"PVCb2","Bosque Ripario",55.523189,"Kale",6683.938074,0,9011.745892,17.7611342178
"78","ANH_275",20,2.75337852,0.92148148,1,2.75337852,0.92148148,"ANH_275","7°23' 0,152"" N","73°49' 29,836"" W",7.38337560209,-73.8249545495,"Unidad Muestral","OE",5954.31585263,2291.34006077,3597.5264463,3597.5264463,5667.1376837,2166.02020108,13710.9608992,0,0,5579.93694886,7946.49085759,3823.18685147,"PVAa","Bosque Ripario",13.707103,"Kale",2166.02020108,0,6361.65101326,9.38015465489
"79","ANH_275",20,2.75337852,0.92148148,1,2.75337852,0.92148148,"ANH_275","7°23' 0,400"" N","73°49' 29,400"" W",7.38344444469,-73.8248333333,"Camaras","PE",5965.63504807,2289.97602467,3605.91799622,3605.91799622,5659.29587741,2180.09068995,13723.6360665,0,0,5565.37264729,7958.51096872,3811.16604258,"PVAa","Bosque Ripario",13.7071031146,"Kale",2180.09068995,0,6371.78565052,16.5271101568
"80","ANH_279",22,2.73541424,0.91041322,1,2.73541424,0.91041322,"ANH_279","7°16' 13,692"" N","73°48' 57,694"" W",7.27046987365,-73.8160262045,"Unidad Muestral","OE",3768.97883318,244.923485201,3956.63491299,4205.86762933,3289.00072278,10416.899981,6944.19872636,349.645586672,0,8356.15821923,3826.49376685,5511.15679988,"PVAa","Herbazales",84.6054235413,"Platero",6944.19872636,0,809.997037728,4340.11797809
"81","ANH_279",22,2.73541424,0.91041322,1,2.73541424,0.91041322,"ANH_279","7°16' 10,500"" N","73°48' 56,500"" W",7.26958333357,-73.8156944444,"Camaras","PE",3678.06981533,173.53476933,3975.2730052,4101.65578421,3263.60985867,10521.4313687,6981.20921988,433.823777185,0,8400.15814028,3727.50274895,5590.19405963,"PVAa","Herbazales",84.6054235413,"Platero",6981.20921988,0,776.306624395,4323.7729597
"82","ANH_280",34,3.20037457,0.94,1,3.20037457,0.94,"ANH_280","7°15' 24,300"" N","73°54' 52,000"" W",7.25675000024,-73.9144444444,"Camaras","PE",4383.354205,9842.69120906,2264.7353429,2264.7353429,8770.64024177,12834.5405387,1542.83481718,512.257524859,0,2552.56115859,269.045023416,9211.23377983,"RVAa","Herbazales",3.74291149702,"Platero",1542.83481718,0,8198.95888165,4880.93938213
"83","ANH_280",34,3.20037457,0.94,1,3.20037457,0.94,"ANH_280","7°15' 20,668"" N","73°54' 51,600"" W",7.25574112321,-73.9143334288,"Unidad Muestral","OE",4492.26512881,9787.88222163,2256.37051304,2256.37051304,8873.61498991,12928.8186825,1530.53476715,624.482788228,0,2632.56964531,253.07594539,9284.60443193,"RVBa","Herbazal",10.753411,"Platero",1530.53476715,0,8295.23434091,4940.5029367
"84","ANH_282",18,2.74222772,0.9275,1,2.74222772,0.9275,"ANH_282","7°26' 7,600"" N","73°48' 33,700"" W",7.43544444469,-73.8093611111,"Camaras","PE",3622.46017028,576.186003729,5714.96766374,6400.31488421,7750.38940927,7118.27860555,19668.4536207,63.3116865818,0,1290.36998034,8956.79457498,2227.40019645,"RVCa","Herbazales",40.4679862137,"Kale",7118.27860555,0,5787.56934634,3194.49133849
"85","ANH_282",18,2.74222772,0.9275,1,2.74222772,0.9275,"ANH_282","7°26' 8,356"" N","73°48' 26,193"" W",7.43565446293,-73.807275809,"Unidad Muestral","OE",3430.02219687,367.026735333,5884.19368455,6593.22094523,7588.11126862,7265.38551573,19780.7619915,28.7379049563,28.7379049563,1059.11508222,9187.73432727,2084.29736684,"RVCa","Palma",2.35741546657,"Kale",7265.38551573,0,5962.76113376,3063.40081364
"86","ANH_283",27,2.93454417,0.93065744,1,2.93454417,0.93065744,"ANH_283","7°24' 55,200"" N","73°50' 34,700"" W",7.41533333358,-73.8429722222,"Camaras","PE",5549.30667035,1646.31956066,2229.37285912,2229.37285912,9380.12608265,3749.3226532,16371.5712984,5.34721106024,0,5532.8967624,5161.39718652,3152.83071449,"RVCa","Herbazales",62.0580546812,"Kale",3749.3226532,0,5037.39985988,3945.35223973
"87","ANH_283",27,2.93454417,0.93065744,1,2.93454417,0.93065744,"ANH_283","7°25' 4,284"" N","73°50' 35,400"" W",7.41785677445,-73.8431665913,"Unidad Muestral","OE",5607.4555553,1913.76173321,2458.49465732,2458.49465732,9586.47689943,4027.31341962,16637.3606923,251.436617255,0,5437.9586381,5116.24193186,3073.35713334,"RVCa","Herbazales",62.0580546812,"Kale",4027.31341962,0,4997.89532156,4103.07651834
"88","ANH_289",4,1.31383403,0.72,1,1.31383403,0.72,"ANH_289","7°18' 33,533"" N","73°43' 1,452"" W",7.30931472488,-73.7170698803,"Unidad Muestral","OE",2567.514325,1384.77238141,2852.57982666,4140.50130972,2475.72313296,15156.021622,18348.3847655,0,0,14018.0490966,5736.68686481,2058.44948593,"PVBc2","Bosque Ripario",15.4867700411,"Caracterizacion",15156.021622,0,82.7717107812,4011.5789866
"89","ANH_360",22,2.86197483,0.93129227,1,2.86197483,0.93129227,"ANH_360","7°19' 11,600"" N","73°42' 38,500"" W",7.31988888913,-73.7106944444,"Camaras","PE",2743.59372419,997.590853986,2976.55420847,4956.59223065,1866.32894663,15433.4307288,19323.7678604,0,0,13438.1088668,6914.60254643,3406.84497116,"LVBe3","Bosque Ripario",740.917316393,"Caracterizacion",15433.4307288,0,1086.13653917,4972.01336111
"90","ANH_360",22,2.86197483,0.93129227,1,2.86197483,0.93129227,"ANH_360","7°19' 12,449"" N","73°42' 35,263"" W",7.32012461335,-73.7097952459,"Unidad Muestral","NE",2837.40882939,1046.28921354,2933.51998627,4956.04490484,1881.00095997,15521.0137475,19426.3976436,0,0,13475.7949098,6947.54458813,3489.05311784,"LVBe3","Bosque Ripario",740.917316393,"Caracterizacion",15521.0137475,0,1172.5452164,4970.22301123
"91","ANH_361",24,2.96951616,0.93813481,1,2.96951616,0.93813481,"ANH_361","7°25' 38,479"" N","73°49' 7,162"" W",7.42735518303,-73.8186560225,"Unidad Muestral","NE",4313.25047457,1243.81532111,5039.39991536,5039.39991536,8090.92233495,5821.0961239,18453.8082006,0,0,2537.88599382,7832.66645472,2592.9065776,"PVAb2","Bosque Ripario",218.109366834,"Kale",5821.0961239,0,5621.2865807,3202.61462639
"92","ANH_361",24,2.96951616,0.93813481,1,2.96951616,0.93813481,"ANH_361","7°25' 44,400"" N","73°49' 5,800"" W",7.42900000024,-73.8182777778,"Camaras","PE",4308.60177058,1265.32585598,5188.58862608,5188.58862608,8146.75830509,6000.37287166,18638.5540668,0,0,2428.45054831,7889.14148951,2627.74261386,"PVAb2","Bosque Ripario",218.109366834,"Kale",6000.37287166,0,5517.50931662,3349.06835917
"93","ANH_74",15,2.21583199,0.82879819,1,2.21583199,0.82879819,"ANH_74","7°23' 6,060"" N","73°48' 32,875"" W",7.38501663288,-73.8091318159,"Unidad Muestral","OE",5020.17640854,3067.39391995,5155.54240603,5155.54240603,4360.90501744,3922.29124945,14709.6323892,0,0,4410.33874648,9617.01125832,2173.34031182,"PVAa","Bosque Ripario",38.2228274838,"Kale",3922.29124945,0,6967.62422541,928.208480804
"94","ANH_82",32,3.05035456,0.93594815,1,3.05035456,0.93594815,"ANH_82","7°24' 46,463"" N","73°50' 28,372"" W",7.41290648239,-73.841214312,"Unidad Muestral","OE",5675.85904095,1425.19795799,2130.64606134,2130.64606134,9055.93701174,3495.87249401,16160.20376,117.959152111,117.959152111,5483.50498744,5389.84551847,3411.60045362,"PVAa","Palma",39.2756311824,"Kale",3495.87249401,0,5261.32327276,3636.8872313
