"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobAves","samplEff.1"
"56","ANH_228","Shannon diversity",17.485,24.646,3.978,17.485,32.443,4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario",1
"57","ANH_228","Simpson diversity",13.745,17.231,2.856,13.745,22.829,4320.92418543,6396.17803907,3106.30374988,10.0375844771,10.0375844771,37.7344244694,4758.14105118,1052.1835542,2958.71739264,2958.71739264,5166.73316009,5268.49680825,774.575064101,"Kale","Bosque Ripario",1
"58","ANH_229","Species richness",19,38.719,17.05,23.559,104.287,2291.73507005,5268.55767892,276.324895518,12.9398001652,12.9398001652,609.783370423,2013.24418956,1775.60750483,5778.71160688,5778.71160688,1315.53585145,1561.92196019,1823.89118076,"Kale","Bosque Ripario",1
"59","ANH_229","Shannon diversity",13.74,21.242,4.986,13.74,31.013,2291.73507005,5268.55767892,276.324895518,12.9398001652,12.9398001652,609.783370423,2013.24418956,1775.60750483,5778.71160688,5778.71160688,1315.53585145,1561.92196019,1823.89118076,"Kale","Bosque Ripario",1
"60","ANH_229","Simpson diversity",10.602,13.562,3.212,10.602,19.857,2291.73507005,5268.55767892,276.324895518,12.9398001652,12.9398001652,609.783370423,2013.24418956,1775.60750483,5778.71160688,5778.71160688,1315.53585145,1561.92196019,1823.89118076,"Kale","Bosque Ripario",1
"61","ANH_230","Species richness",24,27.027,3.067,24.583,39.72,3312.53456024,5418.32699717,1024.36323941,0,0,135.594330327,2771.27174843,2853.82963847,5046.88366985,6740.21787241,2387.1218324,1912.03441821,2497.44819393,"Platero","Bosque Ripario",1
"62","ANH_230","Shannon diversity",15.03,17.85,1.939,15.03,21.65,3312.53456024,5418.32699717,1024.36323941,0,0,135.594330327,2771.27174843,2853.82963847,5046.88366985,6740.21787241,2387.1218324,1912.03441821,2497.44819393,"Platero","Bosque Ripario",1
"63","ANH_230","Simpson diversity",9.783,10.91,1.957,9.783,14.746,3312.53456024,5418.32699717,1024.36323941,0,0,135.594330327,2771.27174843,2853.82963847,5046.88366985,6740.21787241,2387.1218324,1912.03441821,2497.44819393,"Platero","Bosque Ripario",1
"64","ANH_232","Species richness",23,30.988,7.007,24.817,58.115,2004.35102172,4024.70508438,3402.51882158,2.59568696344,2.59568696344,841.669467865,3576.72865537,5186.71826932,3733.31118819,4360.87753396,4506.22260698,3720.85932815,1043.96213494,"Platero","Bosque Ripario",1
"65","ANH_232","Shannon diversity",15.777,19.985,2.692,15.777,25.262,2004.35102172,4024.70508438,3402.51882158,2.59568696344,2.59568696344,841.669467865,3576.72865537,5186.71826932,3733.31118819,4360.87753396,4506.22260698,3720.85932815,1043.96213494,"Platero","Bosque Ripario",1
"66","ANH_232","Simpson diversity",11.571,13.596,2.177,11.571,17.863,2004.35102172,4024.70508438,3402.51882158,2.59568696344,2.59568696344,841.669467865,3576.72865537,5186.71826932,3733.31118819,4360.87753396,4506.22260698,3720.85932815,1043.96213494,"Platero","Bosque Ripario",1
"67","ANH_233","Species richness",30,65.601,25.509,40.082,155.714,5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario",1
"68","ANH_233","Shannon diversity",22.167,35.404,6.857,22.167,48.844,5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario",1
"69","ANH_233","Simpson diversity",17.065,22.343,3.868,17.065,29.925,5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario",1
