"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"43","ANH_131","Species richness",11,12.489,2.276,11.173,23.804,1469.80581741,1666.92018194,7959.82087772,0,0,12.8940759543,3910.72556154,8813.96473151,1056.84261934,1056.84261934,7989.0702231,7261.86704279,3558.96486117,"Platero","Bosque Ripario",0.5
"44","ANH_131","Shannon diversity",4.456,4.682,0.447,4.456,5.559,1469.80581741,1666.92018194,7959.82087772,0,0,12.8940759543,3910.72556154,8813.96473151,1056.84261934,1056.84261934,7989.0702231,7261.86704279,3558.96486117,"Platero","Bosque Ripario",0.5
"45","ANH_131","Simpson diversity",3.173,3.227,0.29,3.173,3.795,1469.80581741,1666.92018194,7959.82087772,0,0,12.8940759543,3910.72556154,8813.96473151,1056.84261934,1056.84261934,7989.0702231,7261.86704279,3558.96486117,"Platero","Bosque Ripario",0.5
"46","ANH_394","Species richness",15,17.07,2.492,15.324,28.233,15287.8827099,5193.85321796,2359.28240105,0,0,14.3116499417,1472.10032295,2221.70804089,1291.7899476,3093.34619982,3757.15065644,950.79649798,3103.97121972,"Caracterizacion","Bosque Denso",0.5
"47","ANH_394","Shannon diversity",4.366,4.637,0.5,4.366,5.616,15287.8827099,5193.85321796,2359.28240105,0,0,14.3116499417,1472.10032295,2221.70804089,1291.7899476,3093.34619982,3757.15065644,950.79649798,3103.97121972,"Caracterizacion","Bosque Denso",0.5
"48","ANH_394","Simpson diversity",2.599,2.627,0.269,2.599,3.153,15287.8827099,5193.85321796,2359.28240105,0,0,14.3116499417,1472.10032295,2221.70804089,1291.7899476,3093.34619982,3757.15065644,950.79649798,3103.97121972,"Caracterizacion","Bosque Denso",0.5
"49","ANH_117","Species richness",11,11.999,1.869,11.09,22.053,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",0.5
"50","ANH_117","Shannon diversity",2.83,2.852,0.101,2.83,3.049,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",0.5
"51","ANH_117","Simpson diversity",2.323,2.326,0.048,2.323,2.421,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",0.5
"52","ANH_113","Species richness",5,5.245,0.719,5.013,9.669,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",0.5
"53","ANH_113","Shannon diversity",1.94,2.028,0.313,1.94,2.64,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",0.5
"54","ANH_113","Simpson diversity",1.422,1.434,0.176,1.422,1.78,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",0.5
"55","ANH_132","Species richness",14,14,0.323,14,14.747,302.343268463,2662.0425725,5590.96575883,0,0,78.6478687443,2977.39183017,7419.54858269,2360.98035931,2360.98035931,6017.74889492,5135.08893899,1228.16533075,"Platero","Bosque Ripario",0.5
"56","ANH_132","Shannon diversity",6.665,6.804,0.44,6.665,7.666,302.343268463,2662.0425725,5590.96575883,0,0,78.6478687443,2977.39183017,7419.54858269,2360.98035931,2360.98035931,6017.74889492,5135.08893899,1228.16533075,"Platero","Bosque Ripario",0.5
"57","ANH_132","Simpson diversity",4.334,4.379,0.341,4.334,5.048,302.343268463,2662.0425725,5590.96575883,0,0,78.6478687443,2977.39183017,7419.54858269,2360.98035931,2360.98035931,6017.74889492,5135.08893899,1228.16533075,"Platero","Bosque Ripario",0.5
